ID,Fecha,Temperatura,Humedad,Precipitación,PorcentajeAgua
1,12-2-21,34,46,9,73
2,13-2-21,20,35,2,36
3,14-2-21,18,24,5,19
4,15-2-21,26,24,7,85
5,16-2-21,18,26,2,85
6,17-2-21,22,30,9,92
7,18-2-21,30,50,2,5
8,19-2-21,24,22,8,40
9,20-2-21,15,32,10,39
10,21-2-21,24,55,2,28
11,22-2-21,34,41,9,74
12,23-2-21,17,59,2,43
13,24-2-21,29,52,6,45
14,25-2-21,15,43,6,37
15,26-2-21,35,45,8,48
16,27-2-21,21,43,4,43
17,28-2-21,34,37,1,97
18,1-3-21,13,27,0,97
19,2-3-21,12,26,8,56
20,3-3-21,18,23,2,0
21,4-3-21,28,57,8,39